,tag,content,counts,link_next,link_prev,label
58,html body text table tr td a b  ,真我,327,1,1,0
59,html body text table tr td a b  ,美图,333,1,1,0
60,html body text table tr td a b  ,视频,337,1,1,0
61,html body text table tr td a b  ,情感空间,344,1,1,0
62,html body text table tr td a b  ,文学沙龙,351,1,1,0
63,html body text table tr td a b  ,音乐动漫,358,1,1,0
64,html body text table tr td a b  ,嘻嘻哈哈,365,1,1,0
65,html body text table tr td a b  ,四川旅游,372,1,1,0
66,html body text table tr td a b  ,广告信息,379,1,1,0
67,html body text table tr td b a  ,日记人生,386,1,1,0
68,html body text table tr td a b  ,麻辣杂谈,396,1,1,0
69,html body text table tr td a b  ,记者江湖,403,1,1,0
70,html body text table tr td a b  ,中国川剧,410,1,1,0
71,html body text table tr td a b  ,指上谈兵,417,1,1,0
72,html body text table tr td a b  ,白兔股市,424,1,1,0
73,html body text table tr td a b  ,绝色美女,430,1,1,0
74,html body text table tr td b a b  ,两性,437,1,1,0
75,html body text table tr td b a b  ,健康,440,1,1,0
76,html body text table tr td a b  ,体育,447,1,1,0
77,html body text table tr td a b  ,活动,451,1,1,0
78,html body text table tr td a b  ,影视八卦,457,1,1,0
79,html body text table tr td a b  ,手机,464,1,1,0
80,html body text table tr td a b  ,汽车,468,1,1,0
81,html body text table tr td a b  ,吃遍四川,474,1,1,0
82,html body text table tr td a b  ,技术,481,1,1,0
83,html body text table tr td a b  ,租房,485,1,1,0
84,html body text table tr td b a  ,博客,492,1,1,0
85,html body text table tr td a b  ,留言,496,0,1,0
86,html body text div a  ,麻辣社区,510,1,0,0
87,html body text div  ,→,511,1,1,0
88,html body text div a  ,错误信息,513,1,1,0
89,html body text div  ,"→ [原创]朋友,请正确客观认识凉山、西昌！错误信息",514,1,1,0
90,html body text div  ,【,516,1,1,0
91,html body text div b a font  ,欢迎建立你的个人博客!,520,1,1,0
92,html body text div  ,】【,521,1,1,0
93,html body text div a b  ,全文搜索,524,1,1,0
94,html body text div  ,】,525,1,1,0
95,html body text table tr th  ,"麻辣社区-大话四川-[原创]朋友,请正确客观认识凉山、西昌！错误信息",533,1,1,1
96,html body text table tr td b  ,"您在""",538,1,1,1
97,html body text table tr td b font  ,"[原创]朋友,请正确客观认识凉山、西昌！",540,1,1,1
98,html body text table tr td b  ,"""的时候发生错误,共有1项,下面是错误的详细信息",541,1,1,1
99,html body text table tr td li  ,错误的版面参数！请确认您是从有效的连接进入。,547,1,1,1
100,html body text table tr td li  ,请仔细阅读论坛帮助文件，确保您有相应的操作权限。,553,1,1,1
101,html body text table tr td a  ,<< 返回上一页,559,0,1,0
102,html body text form table tr th  ,您尚未登录，您可以输入您的用户名、密码登录以便进行您的操作。,571,1,0,0
103,html body text form table tr td  ,请输入您的用户名,576,1,1,0
104,html body text form table tr td a  ,没有注册？,582,1,1,0
105,html body text form table tr td  ,请输入您的密码,587,1,1,0
106,html body text form table tr td a  ,忘记密码？,593,1,1,0
107,html body text form table tr td b  ,Cookie 选项,599,1,1,0
108,html body text form table tr td  ,请选择你的 Cookie 保存时间，,601,1,1,0
109,html body text form table tr td  ,下次访问可以方便输入。,603,1,1,0
110,html body text form table tr td  ,不保存，关闭浏览器就失效,607,1,1,0
111,html body text form table tr td  ,保存一天,611,1,1,0
112,html body text form table tr td  ,保存一月,615,1,1,0
113,html body text form table tr td  ,保存一年,619,1,1,0
114,html body text form table tr td b  ,隐身登录,626,1,1,0
115,html body text form table tr td  ,您可以选择隐身登录，论坛会员将在用户列表看不到您的信息。,628,1,1,0
116,html body text form table tr td  ,正常登录,632,1,1,0
117,html body text form table tr td  ,隐身登录,636,0,1,0
